duration,invocationId
"2010.5565","450d354e-7d74-415b-8e18-b5ee781a0d78"
"2013.0015","c7279e77-bb0d-46df-9532-66636fd796f6"
"2018.4089","ee3a8cc1-55a8-40c4-bc12-655caa8f53f4"
"2009.1053","1132166d-af44-4944-9008-288a85a9a4b2"
"2015.6058","162b175b-4a64-48d3-8b56-4e5b990ef992"
"2011.6776","87656c29-ce25-401e-b104-5c5776f3f0e9"
"2012.0432","2d8a1969-d14e-49e0-822e-0f3213a0e263"
"2012.9791","2591d146-157e-4142-98a7-ac39e579e4a5"
"2012.6978","7910a78e-40a2-4537-913b-6a2e4ecb8acd"
"2013.1035","f5d6b413-29d5-4764-ac6e-adfa392c690a"
"2009.3604","76f6c82e-e374-4bf0-b5c7-eeaef829e4e0"
"2013.2313","34660f2c-fe1b-49b1-8c24-358e503a650e"
"2014.1846","a730c047-e6a5-49a5-b359-d47b38840831"
"2025.0146","fc075f73-78da-4433-b5d7-106d9bc8bf9e"
"2050.0853","054a83d4-d7cd-44cc-bd85-b848400e3eee"
